seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1779710852977511692,1779710852946355941,-31.155751,0.0,128
1,1779710852982937556,1779710852947683832,-35.253724,327.891,128
2,1779710852984873950,1779710852949402017,-35.471933,718.185,128
3,1779710852986830433,1779710852951351692,-35.478741,949.675,128
4,1779710852988790797,1779710852956188335,-32.602462,3836.643,128
5,1779710852991655340,1779710852956587962,-35.067378,-600.373,128
6,1779710852993816096,1779710852958307420,-35.508676,719.458,128
7,1779710852995714590,1779710852960635025,-35.079565,1327.605,128
8,1779710852998129829,1779710852962704233,-35.425596,1069.208,128
9,1779710853000130544,1779710852966675003,-33.455541,2970.77,128
10,1779710853004162974,1779710852968838056,-35.324918,1163.053,128
11,1779710853006625850,1779710852970690124,-35.935726,852.068,128
12,1779710853008188722,1779710852972523627,-35.665095,833.503,128
13,1779710853009935838,1779710852974665680,-35.270158,1142.053,128
14,1779710853012220428,1779710852976496545,-35.723883,830.865,128
15,1779710853014118809,1779710853077479879,63.36107,99983.334,128
16,1779710853115011733,1779710853079502973,-35.50876,1023.094,128
17,1779710853117016948,1779710853081102304,-35.914644,599.331,128
18,1779710853118607890,1779710853082497437,-36.110453,395.133,128
19,1779710853119858292,1779710853083269824,-36.588468,-227.613,128
20,1779710853120763856,1779710853084076478,-36.687378,-193.346,128
21,1779710853121546227,1779710853084848966,-36.697261,-227.512,128
22,1779710853122333400,1779710853085601936,-36.731464,-247.03,128
23,1779710853123104998,1779710853086435689,-36.669309,-166.247,128
24,1779710853123855714,1779710853087196982,-36.658732,-238.707,128
25,1779710853124627083,1779710853087890298,-36.736785,-306.684,128
26,1779710853125432206,1779710853088753711,-36.678495,-136.587,128
27,1779710853126243216,1779710853089443605,-36.799611,-310.106,128
28,1779710853127016439,1779710853090349982,-36.666457,-93.623,128
29,1779710853127783081,1779710853091257142,-36.525939,-92.84,128
30,1779710853128612129,1779710853091852314,-36.759815,-404.828,128
31,1779710853129372444,1779710853092629882,-36.742562,-222.432,128
32,1779710853130177727,1779710853093546554,-36.631173,-83.328,128
33,1779710853131093542,1779710853094336887,-36.756655,-209.667,128
34,1779710853131881673,1779710853095109801,-36.771872,-227.086,128
35,1779710853132670709,1779710853095873136,-36.797573,-236.665,128
36,1779710853133405437,1779710853096626955,-36.778482,-246.181,128
37,1779710853134162530,1779710853097357119,-36.805411,-269.836,128
38,1779710853134924703,1779710853098103494,-36.821209,-253.625,128
39,1779710853135656010,1779710853099055119,-36.600891,-48.375,128
40,1779710853136489115,1779710853099722203,-36.766912,-332.916,128
41,1779710853137276642,1779710853100546676,-36.729966,-175.527,128
42,1779710853138070171,1779710853101393754,-36.676417,-152.922,128
43,1779710853138844159,1779710853102097913,-36.746246,-295.841,128
44,1779710853139636872,1779710853103125021,-36.511851,27.108,128
45,1779710853140551312,1779710853103989094,-36.562218,-135.927,128
46,1779710853141503869,1779710853104729792,-36.774077,-259.302,128
47,1779710853142274154,1779710853105477781,-36.796373,-252.011,128
48,1779710853143031396,1779710853106326829,-36.704567,-150.952,128
49,1779710853143806530,1779710853107008215,-36.798315,-318.614,128
50,1779710853144553393,1779710853107752262,-36.801131,-255.953,128
51,1779710853145316883,1779710853108510799,-36.806084,-241.463,128
52,1779710853146054814,1779710853109264973,-36.789841,-245.826,128
53,1779710853146800941,1779710853110161446,-36.639495,-103.527,128
54,1779710853147668517,1779710853110959159,-36.709358,-202.287,128
55,1779710853148509048,1779710853111829326,-36.679722,-129.833,128
56,1779710853149298346,1779710853112738385,-36.559961,-90.941,128
57,1779710853150288831,1779710853113622659,-36.666172,-115.726,128
58,1779710853151131184,1779710853114465787,-36.665397,-156.872,128
59,1779710853151925144,1779710853115142862,-36.782282,-322.925,128
60,1779710853152696943,1779710853115990435,-36.706508,-152.427,128
61,1779710853153546385,1779710853116748819,-36.797566,-241.616,128
62,1779710853154321003,1779710853117554580,-36.766423,-194.239,128
63,1779710853155112466,1779710853118395592,-36.716874,-158.988,128
64,1779710853155879899,1779710853119237267,-36.642632,-158.325,128
65,1779710853156803424,1779710853120076643,-36.726781,-160.624,128
66,1779710853157604140,1779710853120924736,-36.679404,-151.907,128
67,1779710853158473703,1779710853121698370,-36.775333,-226.366,128
68,1779710853159268952,1779710853122484483,-36.784469,-213.887,128
69,1779710853160055152,1779710853123441046,-36.614106,-43.437,128
70,1779710853162236304,1779710853135303155,-26.933149,10862.109,128
71,1779710853174418998,1779710853142582857,-31.836141,6279.702,128
72,1779710853180087552,1779710853148665136,-31.422416,5082.279,128
73,1779710853186209562,1779710853156008855,-30.200707,6343.719,128
74,1779710853193462894,1779710853159290150,-34.172744,2281.295,128
75,1779710853196772478,1779710853161619157,-35.153321,1329.007,128
76,1779710853198937850,1779710853163646443,-35.291407,1027.286,128
77,1779710853201203789,1779710853165610022,-35.593767,963.579,128
78,1779710853203123740,1779710853167531064,-35.592676,921.042,128
79,1779710853205025321,1779710853169639385,-35.385936,1108.321,128
80,1779710853207069314,1779710853171415019,-35.654295,775.634,128
81,1779710853208960142,1779710853172861262,-36.09888,446.243,128
82,1779710853210388112,1779710853174319880,-36.068232,458.618,128
83,1779710853211881740,1779710853177450203,-34.431537,2130.323,128
84,1779710853214882794,1779710853180192329,-34.690465,1742.126,128
85,1779710853217621763,1779710853182443270,-35.178493,1250.941,128
86,1779710853219698405,1779710853183964802,-35.733603,521.532,128
87,1779710853221496258,1779710853185890871,-35.605387,926.069,128
88,1779710853223393574,1779710853188073580,-35.319994,1182.709,128
89,1779710853225275444,1779710853189548885,-35.726559,475.305,128
90,1779710853227037062,1779710853191102919,-35.934143,554.034,128
91,1779710853228592748,1779710853193227671,-35.365077,1124.752,128
