seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1779711259602467949,1779711259642694547,40.226598,0.0,128
1,1779711259679431824,1779711259644247262,-35.184562,552.715,128
2,1779711259680363835,1779711259644412107,-35.951728,-835.155,128
3,1779711259681298598,1779711259645382471,-35.916127,-29.636,128
4,1779711259682132879,1779711259646057236,-36.075643,-325.235,128
5,1779711259682975090,1779711259646951231,-36.023859,-106.005,128
6,1779711259683792477,1779711259647769169,-36.023308,-182.062,128
7,1779711259684612335,1779711259657254222,-27.358113,8485.053,128
8,1779711259694090138,1779711259658772665,-35.317473,518.443,128
9,1779711259695546123,1779711259660109123,-35.437,336.458,128
10,1779711259697027181,1779711259661233284,-35.793897,124.161,128
11,1779711259697981896,1779711259662142125,-35.839771,-91.159,128
12,1779711259699047263,1779711259663081167,-35.966096,-60.958,128
13,1779711259699983370,1779711259663997039,-35.986331,-84.128,128
14,1779711259700927254,1779711259665046667,-35.880587,49.628,128
15,1779711259701875545,1779711259665898713,-35.976832,-147.954,128
16,1779711259702814503,1779711259666798824,-36.015679,-99.889,128
17,1779711259703728874,1779711259667685306,-36.043568,-113.518,128
18,1779711259704620064,1779711259668575173,-36.044891,-110.133,128
19,1779711259705513018,1779711259669610490,-35.902528,35.317,128
20,1779711259706409960,1779711259670431794,-35.978166,-178.696,128
21,1779711259707361168,1779711259671399931,-35.961237,-31.863,128
22,1779711259708274645,1779711259672283648,-35.990997,-116.283,128
23,1779711259709219923,1779711259673294423,-35.9255,10.775,128
24,1779711259710162096,1779711259674260111,-35.901985,-34.312,128
25,1779711259711124695,1779711259675102404,-36.022291,-157.707,128
26,1779711259712040081,1779711259676242881,-35.7972,140.477,128
27,1779711259712990181,1779711259677075268,-35.914913,-167.613,128
28,1779711259713941926,1779711259678112179,-35.829747,36.911,128
29,1779711259714852725,1779711259679152474,-35.700251,40.295,128
30,1779711259716019256,1779711259680073398,-35.945858,-79.076,128
31,1779711259717000549,1779711259681103916,-35.896633,30.518,128
32,1779711259717951032,1779711259682004270,-35.946762,-99.646,128
33,1779711259718828401,1779711259682813141,-36.01526,-191.129,128
34,1779711259719661326,1779711259683653403,-36.007923,-159.738,128
35,1779711259720471998,1779711259684435474,-36.036524,-217.929,128
36,1779711259721294173,1779711259685321352,-35.972821,-114.122,128
37,1779711259722110279,1779711259686110237,-36.000042,-211.115,128
38,1779711259722974518,1779711259686925082,-36.049436,-185.155,128
39,1779711259723774616,1779711259687836951,-35.937665,-88.131,128
40,1779711259724619699,1779711259688620616,-35.999083,-216.335,128
41,1779711259725480190,1779711259689458871,-36.021319,-161.745,128
42,1779711259726318707,1779711259690355383,-35.963324,-103.488,128
43,1779711259727176764,1779711259691128291,-36.048473,-227.092,128
44,1779711259727995771,1779711259691876165,-36.119606,-252.126,128
45,1779711259728807420,1779711259692795663,-36.011757,-80.502,128
46,1779711259729659383,1779711259693610940,-36.048443,-184.723,128
47,1779711259730466486,1779711259694381697,-36.084789,-229.243,128
48,1779711259731298876,1779711259695247510,-36.051366,-134.187,128
49,1779711259732100432,1779711259696119007,-35.981425,-128.503,128
50,1779711259733004894,1779711259697022547,-35.982347,-96.46,128
51,1779711259733863426,1779711259697814453,-36.048973,-208.094,128
52,1779711259734681617,1779711259698673328,-36.008289,-141.125,128
53,1779711259735531874,1779711259699564585,-35.967289,-108.743,128
54,1779711259736354649,1779711259700346046,-36.008603,-218.539,128
55,1779711259737201750,1779711259701156978,-36.044772,-189.068,128
56,1779711259738024107,1779711259701996576,-36.027531,-160.402,128
57,1779711259738838561,1779711259702842896,-35.995665,-153.68,128
58,1779711259739646023,1779711259703653064,-35.992959,-189.832,128
59,1779711259740456848,1779711259704331877,-36.124971,-321.187,128
60,1779711259741174716,1779711259705360454,-35.814262,28.577,128
61,1779711259742227479,1779711259713694756,-28.532723,7334.302,128
62,1779711259750349040,1779711259715734014,-34.615026,1039.258,128
63,1779711259752466134,1779711259717290892,-35.175242,556.878,128
64,1779711259754140922,1779711259719606261,-34.534661,1315.369,128
65,1779711259756126284,1779711259721146545,-34.979739,540.284,128
66,1779711259757834103,1779711259722491413,-35.34269,344.868,128
67,1779711259759313699,1779711259724251461,-35.062238,760.048,128
68,1779711259761011518,1779711259726068277,-34.943241,816.816,128
69,1779711259762934456,1779711259728080668,-34.853788,1012.391,128
70,1779711259764611253,1779711259729351858,-35.259395,271.19,128
71,1779711259766118657,1779711259730267307,-35.85135,-84.551,128
72,1779711259767140231,1779711259731276462,-35.863769,9.155,128
73,1779711259768119527,1779711259732316238,-35.803289,39.776,128
74,1779711259769158711,1779711259733476022,-35.682689,159.784,128
75,1779711259770178554,1779711259736475723,-33.702831,1999.701,128
76,1779711259771201197,1779711259736485142,-34.716055,-990.581,128
77,1779711259772325700,1779711259736783641,-35.542059,-701.501,128
78,1779711259773476224,1779711259737726822,-35.749402,-56.819,128
79,1779711259774567089,1779711259738796643,-35.770446,69.821,128
80,1779711259775654464,1779711259739808997,-35.845467,12.354,128
81,1779711259776675775,1779711259740844640,-35.831135,35.643,128
82,1779711259777694510,1779711259742001073,-35.693437,156.433,128
83,1779711259778721310,1779711259742982422,-35.738888,-18.651,128
84,1779711259779808424,1779711259744004517,-35.803907,22.095,128
85,1779711259780862755,1779711259745036831,-35.825924,32.314,128
86,1779711259781901523,1779711259746230551,-35.670972,193.72,128
87,1779711259782913489,1779711259747006606,-35.906883,-223.945,128
88,1779711259783917120,1779711259748079463,-35.837657,72.857,128
89,1779711259784931041,1779711259749080164,-35.850877,0.701,128
