seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1000000000000,1000015865211,15.865211,-941.41,128
1,1000001000000,1000016533797,15.533798,-2037.34,128
2,1000002000000,1000016863690,14.863691,-676.99,128
3,1000003000000,1000025824219,22.824219,2596.74,128
4,1000004000000,1000018431061,14.431062,-1130.8,128
5,1000005000000,1000023153273,18.153273,-1610.82,128
6,1000006000000,1000021323295,15.323296,-403.64,128
7,1000007000000,1000026071814,19.071815,-1758.85,128
8,1000008000000,1000027299893,19.299894,-795.93,128
9,1000009000000,1000028205650,19.205651,-2061.91,128
10,1000010000000,1000023949730,13.94973,1259.53,128
11,1000011000000,1000025777789,14.777789,1349.62,128
12,1000012000000,1000029801325,17.801325,-1598.86,128
13,1000013000000,1000029291947,16.291947,215.32,128
14,1000014000000,1000028931981,14.931982,1243.92,128
15,1000015000000,1000033278454,18.278455,-1494.75,128
16,1000016000000,1000033556894,17.556895,-1043.52,128
17,1000017000000,1000032231468,15.231469,1762.89,128
18,1000018000000,1000033126464,15.126465,2060.8,128
19,1000019000000,1000032295626,13.295627,-1091.78,128
20,1000020000000,1000034718261,14.718261,3086.39,128
21,1000021000000,1000039688084,18.688084,3413.99,128
22,1000022000000,1000039745693,17.745693,282.47,128
23,1000023000000,1000038624135,15.624136,-853.67,128
24,1000024000000,1000039275364,15.275365,-1433.16,128
25,1000025000000,1000040211403,15.211403,-1294.57,128
26,1000026000000,1000042232922,16.232922,1175.63,128
27,1000027000000,1000043769837,16.769837,-109.95,128
28,1000028000000,1000041620798,13.620799,1505.29,128
29,1000029000000,1000045432469,16.432469,-1082.33,128
30,1000030000000,1000042905212,12.905213,459.33,128
31,1000031000000,1000049166366,18.166367,1150.92,128
32,1000032000000,1000048713011,16.713011,-3116.76,128
33,1000033000000,1000048012804,15.012804,1707.74,128
34,1000034000000,1000052350623,18.350624,-3170.16,128
35,1000035000000,1000054522356,19.522356,2333.29,128
36,1000036000000,1000050111622,14.111622,1457.65,128
37,1000037000000,1000050345988,13.345989,-1572.11,128
38,1000038000000,1000053248776,15.248777,612.73,128
39,1000039000000,1000054038915,15.038916,-266.57,128
40,1000040000000,1000058916605,18.916605,1519.86,128
41,1000041000000,1000055066710,14.066711,3960.72,128
42,1000042000000,1000056981676,14.981677,-525.75,128
43,1000043000000,1000059597023,16.597024,-1978.97,128
44,1000044000000,1000057516466,13.516466,-2727.45,128
45,1000045000000,1000059101696,14.101696,71.04,128
46,1000046000000,1000061600321,15.600321,3104.15,128
47,1000047000000,1000063325769,16.325769,2205.71,128
48,1000048000000,1000063304721,15.304721,1936.03,128
49,1000049000000,1000061910198,12.910199,-2368.91,128
50,1000050000000,1000064239178,14.239178,-1150.77,128
51,1000051000000,1000069458919,18.45892,-874.34,128
52,1000052000000,1000069597081,17.597082,-224.43,128
53,1000053000000,1000064453102,11.453103,-524.13,128
54,1000054000000,1000069536909,15.536909,2547.09,128
55,1000055000000,1000070684826,15.684826,-1059.17,128
56,1000056000000,1000073037679,17.03768,2420.28,128
57,1000057000000,1000075939009,18.93901,-25.96,128
58,1000058000000,1000076036449,18.036449,-1217.4,128
59,1000059000000,1000074458297,15.458297,-116.07,128
60,1000060000000,1000075647161,15.647161,-438.1,128
61,1000061000000,1000075407924,14.407925,-2449.4,128
62,1000062000000,1000077687227,15.687228,-1449.89,128
63,1000063000000,1000083480420,20.48042,-875.55,128
64,1000064000000,1000080146426,16.146427,2368.87,128
65,1000065000000,1000078390460,13.390461,249.39,128
66,1000066000000,1000085286889,19.28689,-1315.89,128
67,1000067000000,1000082725517,15.725518,41.11,128
68,1000068000000,1000090334396,22.334397,-29.24,128
69,1000069000000,1000090407430,21.407431,2381.63,128
70,1000070000000,1000089230693,19.230693,301.19,128
71,1000071000000,1000083971748,12.971748,-1394.98,128
72,1000072000000,1000089787019,17.787019,676.09,128
73,1000073000000,1000088861706,15.861707,976.13,128
74,1000074000000,1000092992551,18.992551,-1181.92,128
75,1000075000000,1000089931318,14.931318,-435.39,128
76,1000076000000,1000092149416,16.149416,1991.41,128
77,1000077000000,1000092029334,15.029335,-224.8,128
78,1000078000000,1000095002109,17.002109,990.53,128
79,1000079000000,1000094663038,15.663039,520.97,128
80,1000080000000,1000101339749,21.339749,-601.85,128
81,1000081000000,1000097366506,16.366506,2342.44,128
82,1000082000000,1000096022441,14.022441,-77.33,128
83,1000083000000,1000098086644,15.086644,840.86,128
84,1000084000000,1000101728860,17.728861,-833.62,128
85,1000085000000,1000102467384,17.467384,1313.23,128
86,1000086000000,1000104715005,18.715005,2293.2,128
87,1000087000000,1000103384360,16.384361,58.38,128
88,1000088000000,1000105906752,17.906753,2544.03,128
89,1000089000000,1000104977490,15.97749,-490.39,128
90,1000090000000,1000106773118,16.773119,-630.72,128
91,1000091000000,1000100742584,9.742585,858.45,128
92,1000092000000,1000104881901,12.881902,-961.98,128
93,1000093000000,1000107843614,14.843614,48.56,128
94,1000094000000,1000105900463,11.900463,-1888.9,128
95,1000095000000,1000108715208,13.715209,-476.82,128
96,1000096000000,1000111498088,15.498088,973.77,128
97,1000097000000,1000113749443,16.749443,1037.64,128
98,1000098000000,1000116292891,18.292892,503.55,128
99,1000099000000,1000115989335,16.989335,-993.6,128
100,1000100000000,1000114119616,14.119616,1825.84,128
101,1000101000000,1000114853448,13.853449,-894.91,128
102,1000102000000,1000116171061,14.171061,-466.95,128
103,1000103000000,1000118497828,15.497828,1618.29,128
104,1000104000000,1000123012007,19.012007,1280.66,128
105,1000105000000,1000121292305,16.292305,-1933.32,128
106,1000106000000,1000123007376,17.007376,-572.16,128
107,1000107000000,1000120401267,13.401267,1828.97,128
108,1000108000000,1000126223001,18.223001,-765.45,128
109,1000109000000,1000125254232,16.254233,795.76,128
110,1000110000000,1000127590067,17.590067,129.43,128
111,1000111000000,1000127569615,16.569616,1257.57,128
112,1000112000000,1000125285691,13.285691,-1735.76,128
113,1000113000000,1000126207898,13.207898,813.62,128
114,1000114000000,1000131686384,17.686385,-2971.15,128
115,1000115000000,1000128474265,13.474266,-261.02,128
116,1000116000000,1000131811217,15.811217,-1213.42,128
117,1000117000000,1000133382759,16.382759,-818.63,128
118,1000118000000,1000134146753,16.146753,113.13,128
119,1000119000000,1000136192729,17.192729,-590.31,128
120,1000120000000,1000133798282,13.798282,-646.22,128
121,1000121000000,1000136840173,15.840173,246.63,128
122,1000122000000,1000144134528,22.134529,1366.21,128
123,1000123000000,1000140998114,17.998114,2095.07,128
124,1000124000000,1000142331755,18.331755,44.39,128
125,1000125000000,1000138627397,13.627397,-429.73,128
126,1000126000000,1000146665907,20.665908,-579.85,128
127,1000127000000,1000142341747,15.341748,-1233.32,128
128,1000128000000,1000147030461,19.030462,771.19,128
129,1000129000000,1000144641568,15.641569,-854.3,128
130,1000130000000,1000145739316,15.739317,3248.3,128
131,1000131000000,1000154708946,23.708946,2369.74,128
132,1000132000000,1000150145500,18.1455,1981.77,128
133,1000133000000,1000150088769,17.088769,-1335.51,128
134,1000134000000,1000150308580,16.30858,-2571.74,128
135,1000135000000,1000151993916,16.993916,-1155.61,128
136,1000136000000,1000146676705,10.676706,-1095.93,128
137,1000137000000,1000152738739,15.73874,-1232.7,128
138,1000138000000,1000153744081,15.744082,1805.8,128
139,1000139000000,1000157746988,18.746989,-1647.04,128
140,1000140000000,1000156020072,16.020072,758.18,128
141,1000141000000,1000157226949,16.22695,407.28,128
142,1000142000000,1000163418817,21.418818,945.48,128
143,1000143000000,1000161309025,18.309026,2219.27,128
144,1000144000000,1000161580151,17.580152,-1285.52,128
145,1000145000000,1000163120871,18.120872,-774.92,128
146,1000146000000,1000159379565,13.379565,2732.82,128
147,1000147000000,1000160252891,13.252891,479.04,128
148,1000148000000,1000164433682,16.433683,-1020.95,128
