seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size
0,1779714600687868284,1779714600677695411,-10.172873,0.0,128
1,1779714600692088503,1779714600679301261,-12.787242,605.85,128
2,1779714600694468090,1779714600681682819,-12.785271,1381.558,128
3,1779714600696721643,1779714600683582479,-13.139164,899.66,128
4,1779714600698743659,1779714600689205045,-9.538614,4622.566,128
5,1779714600704234985,1779714600693504315,-10.73067,3299.27,128
6,1779714600708686848,1779714600696097141,-12.589707,1592.826,128
7,1779714600711102727,1779714600697957198,-13.145529,860.057,128
8,1779714600713058950,1779714600699938904,-13.120046,981.706,128
9,1779714600715085018,1779714600702562453,-12.522565,1623.549,128
10,1779714600717657849,1779714600704508264,-13.149585,945.811,128
11,1779714600719627913,1779714600707342053,-12.28586,1833.789,128
12,1779714600722401530,1779714600709500663,-12.900867,1158.61,128
13,1779714600724613527,1779714600712086894,-12.526633,1586.231,128
14,1779714600726713520,1779714600714465428,-12.248092,1378.534,128
15,1779714600728899472,1779714600716043745,-12.855727,578.317,128
16,1779714600730816980,1779714600718101515,-12.715465,1057.77,128
17,1779714600732963365,1779714600720443699,-12.519666,1342.184,128
18,1779714600734845653,1779714600722697238,-12.148415,1253.539,128
19,1779714600737707872,1779714600724102513,-13.605359,405.275,128
20,1779714600739209520,1779714600726024215,-13.185305,921.702,128
21,1779714600741273838,1779714600728214073,-13.059765,1189.858,128
22,1779714600743292821,1779714600730243214,-13.049607,1029.141,128
23,1779714600745356775,1779714600732685209,-12.671566,1441.995,128
24,1779714600747662693,1779714600735123544,-12.539149,1438.335,128
25,1779714600750240166,1779714600736807678,-13.432488,684.134,128
26,1779714600752015441,1779714600740284056,-11.731385,2476.378,128
27,1779714600755216762,1779714600741955241,-13.261521,671.185,128
28,1779714600757230752,1779714600744038253,-13.192499,1083.012,128
29,1779714600759292268,1779714600745973877,-13.318391,935.624,128
30,1779714600761042488,1779714600747643787,-13.398701,669.91,128
31,1779714600762892347,1779714600749959488,-12.932859,1315.701,128
32,1779714600765046217,1779714600752361902,-12.684315,1402.414,128
33,1779714600767141420,1779714600753997092,-13.144328,635.19,128
34,1779714600769292486,1779714600756698623,-12.593863,1701.531,128
35,1779714600771864866,1779714600761857315,-10.007551,4158.692,128
36,1779714600776888143,1779714600765480975,-11.407168,2623.66,128
37,1779714600780695615,1779714600768803132,-11.892483,2322.157,128
38,1779714600783881711,1779714600770813446,-13.068265,1010.314,128
39,1779714600785721548,1779714600772316533,-13.405015,503.087,128
40,1779714600787659362,1779714600774456643,-13.202719,1140.11,128
41,1779714600789652733,1779714600776573882,-13.078851,1117.239,128
42,1779714600791696721,1779714600778072780,-13.623941,498.898,128
